ufcstats_id,fighter_name,date_of_birth,espn_id,sherdog_id
003d82fa384ca1d0,Aalon Cruz,9/20/1989,4043437,
34c2b3656f88f7ef,Aaron Phillips,8/5/1989,3098802,
eae431e70064e046,Abdul Razak Alhassan,8/11/1985,3926500,
029e1293e609fd74,Abubakar Nurmagomedov,11/13/1989,3895515,
0232cabbc30a2372,Adrian Yanez,11/29/1993,3998248,
24656ef4d605c96f,Aiemann Zahabi,11/19/1987,4079149,
59279a7c978f7da0,Al Iaquinta,4/30/1987,2960680,
c9a94278df042f46,Alan Baudot,2/1/1988,4422319,
cf65d56b0755ed3b,Alan Jouban,11/25/1981,3045738,
cd7763bcadb5d4c8,Alan Patrick,7/19/1983,3060122,
80daefbed11ce998,Alejandro Perez,9/2/1989,3128373,
c2a670b22d2e196f,Aleksa Camur,9/25/1995,4426299,
333b9e5c723ac873,Aleksandar Rakic,2/6/1992,4079314,
e76d9f656ceb82ab,Aleksandra Albu,7/14/1990,3074493,
e2ccd9a9ace60de7,Aleksei Kunchenko,5/2/1984,3999124,
98c23cb6da5b3352,Aleksei Oleinik,6/20/1977,2335844,
70fa1c64a2c439ef,Alen Amedovski,4/6/1988,4411394,
77d7295d1b22c694,Alessio Di Chirico,12/12/1989,3962563,
7aa3d6964eff4877,Alex Caceres,6/20/1988,2552906,
c3ded6f7155f9ea4,Alex Da Silva,2/4/1996,4420801,
cdb96af67d096b1e,Alex Morono,8/16/1990,3088232,
57b10fca4f9c9a7a,Alex Oliveira,2/21/1988,3417396,
ab2b4ff41d6ebe0f,Alex Perez,3/21/1992,3155425,
c17041f1bb5768d8,Alex White,10/22/1988,3097954,
e8b731feff72294b,Alexa Grasso,8/9/1993,3136287,
3c6976f8182d9527,Alexander Gustafsson,1/15/1987,2500771,
262a7d06203657e6,Alexander Hernandez,10/1/1992,4018757,
f8f1ec513bcfef43,Alexander Munoz,2/27/1990,4355664,
e1248941344b3288,Alexander Volkanovski,9/29/1988,3949584,
279566840aa55bf2,Alexander Volkov,10/24/1988,2993650,
d06f8869449ba7bd,Alexander Yakovlev,7/18/1984,2950951,
c0badf3243907e59,Alexandr Romanov,12/11/1990,4421473,
a0f0004aadf10b71,Alexandre Pantoja,4/16/1990,2560746,
4c2d90e335e6df19,Alexis Davis,10/4/1984,2563797,
e87a13e02c01331d,Ali AlQaisi,9/23/1990,4687002,
b4ad3a06ee4d660c,Alistair Overeem,5/17/1980,2335516,
cb696ebfb6598724,Aljamain Sterling,7/31/1989,3031559,
a9d6e047ce48ab63,Allen Crowder,11/8/1989,3983543,
a495f599e787614f,Alonzo Menifield,10/18/1987,3948876,
3df5493bb279226f,Amanda Lemos,5/22/1987,4233196,
80fa8218c99f9c58,Amanda Nunes,5/30/1988,2516131,
beecb672a279223e,Amanda Ribas,8/26/1993,4221863,
6d35bf94f7d30241,Amir Albazi,10/27/1993,4684848,
