fight_id,ufcstats_id,round,fighter_round_knockdowns,fighter_round_sig_strikes_landed,fighter_round_sig_strikes_attempted,fighter_round_sig_strike_percentage,fighter_round_strikes_landed,fighter_round_strikes_attempted,fighter_round_strike_percentage,fighter_round_takedowns,fighter_round_takedowns_attempted,fighter_round_takedowns_percentage,fighter_round_submission_attempts,fighter_round_reversals,fighter_round_control,fighter_round_sig_strikes_head_landed,fighter_round_sig_strikes_head_attempts,fighter_round_sig_strikes_head_percentage,fighter_round_sig_strikes_body_landed,fighter_round_sig_strikes_body_attempts,fighter_round_sig_strikes_body_percentage,fighter_round_sig_strikes_leg_landed,fighter_round_sig_strikes_leg_attempts,fighter_round_sig_strikes_leg_percentage,fighter_round_sig_strikes_distance_landed,fighter_round_sig_strikes_distance_attempts,fighter_round_sig_strikes_distance_percentage,fighter_round_sig_strikes_clinch_landed,fighter_round_sig_strikes_clinch_attempts,fighter_round_sig_strikes_clinch_percentage,fighter_round_sig_strikes_ground_landed,fighter_round_sig_strikes_ground_attempts,fighter_round_sig_strikes_ground_percentage
0005e00b07cee542,578ef12674df1e6a,1,0,12,31,38,13,32,40,0,0,0,0,0,0,3,14,21,1,4,25,8,13,61,12,31,38,0,0,0,0,0,0
0005e00b07cee542,578ef12674df1e6a,2,0,12,32,37,17,37,45,0,0,0,0,0,0,5,21,23,2,4,50,5,7,71,10,30,33,2,2,100,0,0,0
0005e00b07cee542,578ef12674df1e6a,3,0,9,25,36,11,27,40,0,0,0,0,0,3,4,19,21,3,4,75,2,2,100,8,24,33,1,1,100,0,0,0
0005e00b07cee542,578ef12674df1e6a,4,0,18,42,42,19,43,44,0,0,0,0,0,0,13,34,38,3,6,50,2,2,100,17,41,41,1,1,100,0,0,0
0005e00b07cee542,578ef12674df1e6a,5,0,18,55,32,32,71,45,0,0,0,0,0,0,13,40,32,3,12,25,2,3,66,18,55,32,0,0,0,0,0,0
0005e00b07cee542,634e2fb70bde3fd5,1,0,21,50,42,31,60,51,1,3,33,0,0,39,8,33,24,8,10,80,5,7,71,21,50,42,0,0,0,0,0,0
0005e00b07cee542,634e2fb70bde3fd5,2,0,23,47,48,27,53,50,1,3,33,0,0,79,10,31,32,8,11,72,5,5,100,21,45,46,0,0,0,2,2,100
0005e00b07cee542,634e2fb70bde3fd5,3,0,23,51,45,37,67,55,1,2,50,0,0,126,12,38,31,10,12,83,1,1,100,14,27,51,0,0,0,9,24,37
0005e00b07cee542,634e2fb70bde3fd5,4,0,39,58,67,39,60,65,1,3,33,0,0,33,14,28,50,19,24,79,6,6,100,37,56,66,0,0,0,2,2,100
0005e00b07cee542,634e2fb70bde3fd5,5,0,48,95,50,53,102,51,1,3,33,0,0,39,37,84,44,11,11,100,0,0,0,47,94,50,1,1,100,0,0,0
001441f70c293931,7826923b47f8d72a,1,0,3,6,50,5,8,62,1,2,50,1,0,53,1,4,25,0,0,0,2,2,100,2,4,50,0,1,0,1,1,100
001441f70c293931,ec18eb918121787c,1,0,7,9,77,16,21,76,0,0,0,0,0,163,5,7,71,2,2,100,0,0,0,2,4,50,2,2,100,3,3,100
0019ec81fd706ade,326f94d6cfb1bf25,1,0,9,32,28,9,32,28,0,0,0,0,0,0,3,22,13,5,9,55,1,1,100,9,32,28,0,0,0,0,0,0
0019ec81fd706ade,326f94d6cfb1bf25,2,0,7,35,20,7,35,20,0,0,0,0,0,0,5,31,16,2,4,50,0,0,0,7,34,20,0,1,0,0,0,0
0019ec81fd706ade,326f94d6cfb1bf25,3,0,10,30,33,10,30,33,0,0,0,0,0,0,7,25,28,3,5,60,0,0,0,10,30,33,0,0,0,0,0,0
0019ec81fd706ade,85073dbd1be65ed9,1,0,19,39,48,19,39,48,0,0,0,0,0,0,12,31,38,0,0,0,7,8,87,17,37,45,2,2,100,0,0,0
0019ec81fd706ade,85073dbd1be65ed9,2,0,18,31,58,18,31,58,0,0,0,0,0,0,5,18,27,3,3,100,10,10,100,18,31,58,0,0,0,0,0,0
