ufcstats_id,first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws,date_of_birth,sig_strikes_landed_per_minute,sig_strike_accuracy,sig_strikes_absorbed_per_minute,sig_strike_defence,avg_takedowns_per_15_minutes,takedown_accuracy,takedown_defence,avg_submission_attempts_per_15_minutes
93fe7332d16c6ad9,Tom,Aaron,Tom Aaron,,--,155,--,,5,3,0,"Jul 13, 1978",0.0,0,0.0,0,0.0,0,0,0.0
15df64c02b6b0fde,Danny,Abbadi,Danny Abbadi,The Assassin,"5' 11""",155,--,Orthodox,4,6,0,"Jul 03, 1983",3.29,38,4.41,57,0.0,0,77,0.0
59a9d6dac61c2540,Nariman,Abbasov,Nariman Abbasov,Bayraktar,"5' 8""",155,66,Orthodox,28,4,0,"Feb 01, 1994",3.0,20,5.67,46,0.0,0,66,0.0
b361180739bed4b0,David,Abbott,David Abbott,Tank,"6' 0""",265,--,Switch,10,15,0,--,1.35,30,3.55,38,1.07,33,66,0.0
3329d692aea4dc28,Hamdy,Abdelwahab,Hamdy Abdelwahab,The Hammer,"6' 2""",264,72,Southpaw,5,0,0 (1 NC),"Jan 22, 1993",3.87,52,3.13,59,3.0,75,0,0.0
2f5cbecbbe18bac4,Shamil,Abdurakhimov,Shamil Abdurakhimov,Abrek,"6' 3""",235,76,Orthodox,20,8,0,"Sep 02, 1981",2.41,44,3.02,55,1.01,23,45,0.1
c0ed7b208197e8de,Hiroyuki,Abe,Hiroyuki Abe,Abe Ani,"5' 6""",145,--,Orthodox,8,15,3 (1 NC),--,1.71,36,3.11,63,0.0,0,33,0.0
5140122c3eecd307,Daichi,Abe,Daichi Abe,,"5' 11""",170,71,Orthodox,6,2,0,"Nov 27, 1991",3.8,33,4.49,56,0.33,50,0,0.0
c9f6385af6df66d7,Papy,Abedi,Papy Abedi,Makambo,"5' 11""",185,--,Southpaw,10,4,0,"Jun 30, 1978",2.8,55,3.15,48,3.47,57,50,1.3
aa6e591c2a2cdecd,Ricardo,Abreu,Ricardo Abreu,Demente,"5' 11""",185,--,Orthodox,5,1,0,"Apr 27, 1984",3.79,31,3.98,68,2.13,42,100,0.7
7279654c7674cd24,Klidson,Abreu,Klidson Abreu,White Bear,"6' 0""",205,74,Orthodox,15,4,0 (1 NC),"Dec 24, 1992",2.05,40,2.9,55,0.64,20,80,0.0
f689bd7bbd14b392,Cyborg,Abreu,Cyborg Abreu,,--,--,--,,0,0,0,"Dec 20, 1980",0.0,0,0.0,0,0.0,0,0,0.0
1c5879330d42255f,Daniel,Acacio,Daniel Acacio,,"5' 8""",180,--,Orthodox,30,18,0,"Dec 27, 1977",3.52,36,2.85,62,0.33,20,81,0.0
989b85f6540c86b1,John,Adajar,John Adajar,The Outlaw,"5' 9""",170,75,Orthodox,6,2,0,"Jun 22, 1991",3.9,52,6.28,44,0.0,0,0,0.0
2620f3eb21c79614,Scott,Adams,Scott Adams,,"6' 0""",225,--,Southpaw,8,1,0,--,0.0,0,0.0,0,0.0,0,0,0.0
83b00f7597e5ac83,Juan,Adams,Juan Adams,The Kraken,"6' 5""",265,80,Orthodox,5,3,0,"Jan 16, 1992",7.09,55,4.06,34,0.91,66,57,0.0
a77633a989013265,Anthony,Adams,Anthony Adams,Sugafoot,"6' 1""",185,76,Orthodox,8,2,0,"Jan 13, 1988",3.17,41,5.93,44,0.0,0,0,0.0
79cb2a690b9ba5e8,Zarrukh,Adashev,Zarrukh Adashev,The Lion,"5' 5""",125,65,Southpaw,4,4,0,"Jul 29, 1992",3.65,40,3.04,64,0.0,0,100,0.5
1338e2c7480bdf9e,Israel,Adesanya,Israel Adesanya,The Last Stylebender,"6' 4""",185,80,Switch,24,2,0,"Jul 22, 1989",3.94,49,2.88,57,0.06,14,77,0.2
0e9869d712e81f8f,Sam,Adkins,Sam Adkins,The Experience,"6' 3""",225,--,Orthodox,7,20,2,"Apr 26, 1965",0.0,0,0.0,0,0.0,0,0,0.0
ebc5af72ad5a28cb,Nick,Agallar,Nick Agallar,,"5' 8""",155,--,Orthodox,24,6,0,"Jan 13, 1979",0.69,11,4.56,42,0.0,0,0,0.0
a08ddd04eaffd81d,Mariya,Agapova,Mariya Agapova,Demonslayer,"5' 6""",125,68,Southpaw,10,4,0,"Apr 07, 1997",4.67,55,3.82,52,0.59,66,47,0.9
44aa652b181bcf68,Marcelo,Aguiar,Marcelo Aguiar,,"5' 10""",170,--,Orthodox,2,3,1,--,0.0,0,0.0,0,0.0,0,0,0.0
501821d7fb7b95c1,Fabio,Aguiar,Fabio Aguiar,,"6' 0""",185,--,,17,1,0,"Feb 10, 1988",0.0,0,0.0,0,0.0,0,0,0.0
6cadc0a0ba7dc015,Edwin,Aguilar,Edwin Aguilar,Tigre,"5' 10""",185,--,,26,19,0 (1 NC),--,0.0,0,0.0,0,0.0,0,0,0.0
