ufcstats_id,first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws,belt
7cdd3e5d3aa9cb39,Yan,Cabral,Yan Cabral,,"5' 11""",155,73.0,Orthodox,13,3,0,False
601f8439a0277670,Juan,Cabrera,Juan Cabrera,Papi Juancho,--,185,,,9,1,0,False
ce7871949b0ed2bf,Alvin,Cacdac,Alvin Cacdac,,"5' 6""",125,,Orthodox,18,13,0,False
7aa3d6964eff4877,Alex,Caceres,Alex Caceres,Bruce Leeroy,"5' 10""",145,73.0,Southpaw,21,15,0,False
ed2a8cc402173781,Vince,Cachero,Vince Cachero,The Anomaly,"5' 6""",145,68.0,Orthodox,7,4,0,False
b1e5bcaad32a3cac,Priscila,Cachoeira,Priscila Cachoeira,Zombie Girl,"5' 7""",135,65.0,Orthodox,13,7,0,False
90d28fee0af74f2d,Travis,Calanoc,Travis Calanoc,The Dark Knight,"5' 8""",145,,Orthodox,5,1,0,False
800feaa25700a85f,Ricky,Calatayud,Ricky Calatayud,,"5' 9""",125,,,16,2,0,False
8661578c8bb80f51,Lucas,Caldas,Lucas Caldas,,"5' 8""",155,70.0,Orthodox,6,2,0,False
7d4d7583df7eebf9,Carlos,Calderon,Carlos Calderon,Chief,"5' 11""",145,71.0,Southpaw,6,3,0,False
b7dc25ee40ee8334,Darrion,Caldwell,Darrion Caldwell,The Wolf,"5' 10""",135,,,10,1,0,False
fc0a4053eb8a3a59,Nicolle,Caliari,Nicolle Caliari,,"5' 3""",125,62.0,Orthodox,8,4,0,False
53d471e9bf5f2fc8,Taylor,Callens,Taylor Callens,,"5' 10""",155,,,6,0,0,False
98215d037be5bcb7,Cynthia,Calvillo,Cynthia Calvillo,,"5' 4""",115,64.0,Orthodox,9,6,1,False
dfb965c9824425db,Joe,Camacho,Joe Camacho,,"5' 9""",155,,Orthodox,13,19,3,False
764342d39cdaa54a,Frank,Camacho,Frank Camacho,The Crank,"5' 10""",155,73.0,Orthodox,22,10,0,False
71d25689f70e4036,Lucas,Camacho,Lucas Camacho,,"6' 4""",265,80.0,Orthodox,6,1,0,False
72f890c5d421e705,Matheus,Camilo,Matheus Camilo,Jaguar,"5' 10""",155,69.0,Orthodox,10,3,0,False
7abe471b61725980,Fabricio,Camoes,Fabricio Camoes,Morango,"5' 10""",155,71.0,Orthodox,14,9,1,False
6c2030e0a143a94b,Chris,Camozzi,Chris Camozzi,,"6' 2""",185,75.0,Orthodox,24,13,0,False
1999ffb5cebc314f,Brian,Camozzi,Brian Camozzi,Mantis,"6' 2""",170,78.0,Orthodox,7,5,0,False
4a99978a0366bb29,Ricky,Camp,Ricky Camp,2 Slick,"5' 7""",135,,,11,4,0,False
f5585e675af7afd4,Mike,Campbell,Mike Campbell,The Beast,"5' 9""",155,,Southpaw,13,4,0,False
d060014a5a039829,Thomas,Campbell,Thomas Campbell,,--,,,,3,3,0,False
784285b7ae7dd85f,Shane,Campbell,Shane Campbell,Shaolin,"6' 0""",155,71.0,Orthodox,14,6,0,False
b39f7a6c2be17ee8,Charlie,Campbell,Charlie Campbell,The Cannibal,"6' 0""",155,72.0,Orthodox,9,3,0,False
903ef36a6adc09a3,Kitt,Campbell,Kitt Campbell,The Killer,"6' 1""",170,73.0,Orthodox,16,7,0,False
9d51798e61f2e0c7,Kurtis,Campbell,Kurtis Campbell,The Pink Panther,"5' 9""",145,72.0,Switch,8,0,0,False
31bbd46d57dfbcb7,John,Campetella,John Campetella,,"5' 9""",235,,Orthodox,0,1,0,False
db6d5f691aea3fd3,Wagner,Campos,Wagner Campos,Galeto,"5' 6""",145,,Southpaw,12,10,0,False
aa8dc72b3a1f761c,Derek,Campos,Derek Campos,The Stallion,"5' 9""",155,,,19,6,0,False
901cddcbfa079097,Will,Campuzano,Will Campuzano,,"5' 9""",125,70.0,Orthodox,14,6,0,False
