fight_id,event_id,event_name,event_date,weight_class,referee,details,ufcstats_id,fighter_name,opp_ufcstats_id,opp_name,method,is_decision,round,time,time_format,fight_time_seconds,fighter_odds,fighter_winner,fighter_new_dk_score,fighter_old_dk_score,fighter_total_knockdowns,fighter_total_sig_strikes_landed,fighter_total_sig_strikes_attempted,fighter_total_sig_strike_percentage,fighter_total_strikes_landed,fighter_total_strikes_attempted,fighter_total_strike_percentage,fighter_total_takedowns,fighter_total_takedowns_attempted,fighter_total_takedowns_percentage,fighter_total_submission_attempts,fighter_total_reversals,fighter_total_control,fighter_total_sig_strikes_head_landed,fighter_total_sig_strikes_head_attempts,fighter_total_sig_strikes_head_percentage,fighter_total_sig_strikes_body_landed,fighter_total_sig_strikes_body_attempts,fighter_total_sig_strikes_body_percentage,fighter_total_sig_strikes_leg_landed,fighter_total_sig_strikes_leg_attempts,fighter_total_sig_strikes_leg_percentage,fighter_total_sig_strikes_distance_landed,fighter_total_sig_strikes_distance_attempts,fighter_total_sig_strikes_distance_percentage,fighter_total_sig_strikes_clinch_landed,fighter_total_sig_strikes_clinch_attempts,fighter_total_sig_strikes_clinch_percentage,fighter_total_sig_strikes_ground_landed,fighter_total_sig_strikes_ground_attempts,fighter_total_sig_strikes_ground_percentage
2c13b938e0f8190b,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Welterweight,Herb Dean,Details: Eye Poke by Edwards,f1fac969a1d70b08,Leon Edwards,b1b0729d27936f2f,Belal Muhammad,Could Not Continue,0,2,0:18,5 Rnd (5-5-5-5-5),318,-275,False,8.370000000000001,9.5,0,19,39,48,20,40,50,0,1,0,0,0,19,10,29,34,5,6,83,4,4,100,19,38,50,0,1,0,0,0,0
2c13b938e0f8190b,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Welterweight,Herb Dean,Details: Eye Poke by Edwards,b1b0729d27936f2f,Belal Muhammad,f1fac969a1d70b08,Leon Edwards,Could Not Continue,0,2,0:18,5 Rnd (5-5-5-5-5),318,225,False,5.390000000000001,4.0,0,8,26,30,14,32,43,0,0,0,0,0,33,7,23,30,1,3,33,0,0,0,6,23,26,2,3,66,0,0,0
2c13b938e0f8190b,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Welterweight,Herb Dean,Details: Eye Poke by Edwards,f1fac969a1d70b08,Leon Edwards,b1b0729d27936f2f,Belal Muhammad,Could Not Continue,0,2,0:18,5 Rnd (5-5-5-5-5),318,-275,False,8.370000000000001,9.5,0,19,39,48,20,40,50,0,1,0,0,0,19,10,29,34,5,6,83,4,4,100,19,38,50,0,1,0,0,0,0
2c13b938e0f8190b,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Welterweight,Herb Dean,Details: Eye Poke by Edwards,b1b0729d27936f2f,Belal Muhammad,f1fac969a1d70b08,Leon Edwards,Could Not Continue,0,2,0:18,5 Rnd (5-5-5-5-5),318,225,False,5.390000000000001,4.0,0,8,26,30,14,32,43,0,0,0,0,0,33,7,23,30,1,3,33,0,0,0,6,23,26,2,3,66,0,0,0
4944437e73071671,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Light Heavyweight,Mark Smith,Details: Punches to Head On Ground,67f272324a030d00,Misha Cirkunov,a67f5afa8d6a1b80,Ryan Spann,KO/TKO,0,1,1:11,3 Rnd (5-5-5),71,-135,False,2.0,2.5,0,5,18,27,5,18,27,0,0,0,0,0,0,5,18,27,0,0,0,0,0,0,5,18,27,0,0,0,0,0,0
4944437e73071671,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Light Heavyweight,Mark Smith,Details: Punches to Head On Ground,a67f5afa8d6a1b80,Ryan Spann,67f272324a030d00,Misha Cirkunov,KO/TKO,0,1,1:11,3 Rnd (5-5-5),71,115,True,106.78999999999999,108.0,1,16,29,55,16,29,55,0,0,0,0,0,13,14,27,51,2,2,100,0,0,0,4,13,30,0,0,0,12,16,75
4944437e73071671,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Light Heavyweight,Mark Smith,Details: Punches to Head On Ground,67f272324a030d00,Misha Cirkunov,a67f5afa8d6a1b80,Ryan Spann,KO/TKO,0,1,1:11,3 Rnd (5-5-5),71,-135,False,2.0,2.5,0,5,18,27,5,18,27,0,0,0,0,0,0,5,18,27,0,0,0,0,0,0,5,18,27,0,0,0,0,0,0
4944437e73071671,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Light Heavyweight,Mark Smith,Details: Punches to Head On Ground,a67f5afa8d6a1b80,Ryan Spann,67f272324a030d00,Misha Cirkunov,KO/TKO,0,1,1:11,3 Rnd (5-5-5),71,115,True,106.78999999999999,108.0,1,16,29,55,16,29,55,0,0,0,0,0,13,14,27,51,2,2,100,0,0,0,4,13,30,0,0,0,12,16,75
d15a87087b6f1452,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Featherweight,Mike Beltran,Details: Punch to Head At Distance,82a5152216251682,Dan Ige,da816417a579a0bd,Gavin Tucker,KO/TKO,0,1,0:22,3 Rnd (5-5-5),22,-195,True,125.43,100.5,1,1,4,25,1,4,25,0,0,0,0,0,1,1,4,25,0,0,0,0,0,0,1,4,25,0,0,0,0,0,0
d15a87087b6f1452,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Featherweight,Mike Beltran,Details: Punch to Head At Distance,da816417a579a0bd,Gavin Tucker,82a5152216251682,Dan Ige,KO/TKO,0,1,0:22,3 Rnd (5-5-5),22,165,False,0.4,0.5,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,1,100,0,0,0,0,0,0
d15a87087b6f1452,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Featherweight,Mike Beltran,Details: Punch to Head At Distance,82a5152216251682,Dan Ige,da816417a579a0bd,Gavin Tucker,KO/TKO,0,1,0:22,3 Rnd (5-5-5),22,-195,True,125.43,100.5,1,1,4,25,1,4,25,0,0,0,0,0,1,1,4,25,0,0,0,0,0,0,1,4,25,0,0,0,0,0,0
d15a87087b6f1452,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Featherweight,Mike Beltran,Details: Punch to Head At Distance,da816417a579a0bd,Gavin Tucker,82a5152216251682,Dan Ige,KO/TKO,0,1,0:22,3 Rnd (5-5-5),22,165,False,0.4,0.5,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,1,100,0,0,0,0,0,0
70aa6b8f863e6861,8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,Bantamweight,Chris Tognoni,Details: Punch to Head At Distance,f2477cf43c4975cc,Jonathan Martinez,113df4fde64735c6,Davey Grant,KO/TKO,0,2,3:03,3 Rnd (5-5-5),483,-310,False,22.35,24.5,1,29,71,40,29,71,40,0,0,0,0,0,25,16,57,28,5,6,83,8,8,100,26,66,39,0,0,0,3,5,60
